card_id;account_id;pan_masked;payment_system;issued_at;expires_at;status
K2000001;A1000001;2202 70** **** 1624;МИР;2025-10-22;2029-10-01;active
K2000002;A1000002;2204 33** **** 7989;МИР;2025-10-20;2029-10-01;active
K2000003;A1000004;4276 72** **** 1457;Mastercard;2024-06-25;2028-06-01;active
K2000004;A1000005;2204 29** **** 7289;МИР;2024-06-08;2028-06-01;active
K2000005;A1000006;5469 48** **** 9255;Mastercard;2025-01-15;2029-01-01;active
K2000006;A1000007;2204 98** **** 7257;МИР;2026-03-23;2030-03-01;active
K2000007;A1000008;2202 40** **** 3941;МИР;2026-12-25;2030-12-01;active
K2000008;A1000009;2202 25** **** 9723;МИР;2026-09-17;2030-09-01;active
K2000009;A1000010;2204 92** **** 1957;МИР;2025-06-11;2029-06-01;active
K2000010;A1000010;4276 40** **** 2593;Visa;2025-06-11;2029-06-01;active
K2000011;A1000011;2202 68** **** 3419;МИР;2025-09-07;2029-09-01;active
K2000012;A1000012;2204 67** **** 5302;МИР;2026-10-01;2030-10-01;active
K2000013;A1000014;5469 68** **** 6414;Mastercard;2025-08-02;2029-08-01;active
K2000014;A1000015;2202 57** **** 7178;МИР;2026-10-21;2030-10-01;active
K2000015;A1000016;2200 35** **** 8161;МИР;2024-06-13;2028-06-01;active
K2000016;A1000018;2202 27** **** 9435;МИР;2025-10-07;2029-10-01;active
K2000017;A1000020;2200 26** **** 2039;МИР;2026-08-23;2030-08-01;active
K2000018;A1000021;2202 77** **** 1148;МИР;2026-12-09;2030-12-01;active
K2000019;A1000022;4276 48** **** 7532;Visa;2024-06-21;2028-06-01;active
K2000020;A1000023;5469 17** **** 3412;Visa;2025-05-08;2029-05-01;active
K2000021;A1000024;2204 55** **** 8092;МИР;2025-09-21;2029-09-01;active
K2000022;A1000026;2200 43** **** 4213;МИР;2026-08-15;2030-08-01;active
K2000023;A1000027;4276 43** **** 8517;Visa;2023-11-27;2027-11-01;blocked
K2000024;A1000028;2204 10** **** 5392;МИР;2026-01-15;2030-01-01;active
K2000025;A1000030;2200 86** **** 4665;МИР;2023-08-16;2027-08-01;active
K2000026;A1000030;5469 95** **** 7514;Mastercard;2026-06-02;2030-06-01;active
K2000027;A1000031;2204 97** **** 9172;МИР;2026-04-16;2030-04-01;active
K2000028;A1000032;2200 20** **** 4907;МИР;2025-11-23;2029-11-01;blocked
K2000029;A1000034;4276 62** **** 2142;Mastercard;2025-03-06;2029-03-01;active
K2000030;A1000034;2202 84** **** 3726;МИР;2023-11-21;2027-11-01;active
K2000031;A1000035;4276 34** **** 5119;Mastercard;2025-12-08;2029-12-01;active
K2000032;A1000036;4276 29** **** 4169;Mastercard;2026-04-14;2030-04-01;active
K2000033;A1000037;2200 78** **** 4954;МИР;2026-06-24;2030-06-01;active
K2000034;A1000038;4276 12** **** 9444;Mastercard;2025-04-07;2029-04-01;active
K2000035;A1000038;2202 66** **** 7904;МИР;2024-01-17;2028-01-01;active
K2000036;A1000039;2204 64** **** 9866;МИР;2025-08-26;2029-08-01;active
K2000037;A1000040;2204 48** **** 4637;МИР;2025-09-10;2029-09-01;active
K2000038;A1000041;2200 17** **** 8345;МИР;2026-12-24;2030-12-01;active
K2000039;A1000043;2202 89** **** 3377;МИР;2025-07-16;2029-07-01;active
K2000040;A1000044;2200 97** **** 3770;МИР;2022-02-08;2026-02-01;active
K2000041;A1000045;5469 43** **** 8931;Mastercard;2025-01-02;2029-01-01;active
K2000042;A1000046;2202 55** **** 4939;МИР;2026-04-20;2030-04-01;active
K2000043;A1000047;2204 95** **** 3672;МИР;2026-04-21;2030-04-01;active
K2000044;A1000049;2200 35** **** 6582;МИР;2025-07-13;2029-07-01;active
K2000045;A1000051;2204 58** **** 6255;МИР;2025-02-17;2029-02-01;active
K2000046;A1000051;2204 51** **** 3000;МИР;2025-04-16;2029-04-01;active
K2000047;A1000052;2204 18** **** 6717;МИР;2026-02-25;2030-02-01;active
K2000048;A1000054;5469 73** **** 4912;Mastercard;2026-05-21;2030-05-01;active
K2000049;A1000055;4276 81** **** 8185;Visa;2023-12-28;2027-12-01;active
K2000050;A1000056;2202 43** **** 6593;МИР;2024-05-17;2028-05-01;active
K2000051;A1000058;2202 97** **** 1087;МИР;2024-08-16;2028-08-01;active
K2000052;A1000064;2202 53** **** 5314;МИР;2025-11-02;2029-11-01;active
K2000053;A1000065;5469 72** **** 3411;Visa;2026-07-12;2030-07-01;active
K2000054;A1000066;2200 65** **** 7907;МИР;2024-06-18;2028-06-01;active
K2000055;A1000067;2204 11** **** 6566;МИР;2026-07-25;2030-07-01;active
K2000056;A1000068;2204 68** **** 5651;МИР;2026-02-22;2030-02-01;active
K2000057;A1000069;2204 70** **** 9602;МИР;2024-12-27;2028-12-01;active
K2000058;A1000070;2200 14** **** 7970;МИР;2025-09-11;2029-09-01;active
K2000059;A1000071;4276 23** **** 6245;Visa;2026-07-13;2030-07-01;active
K2000060;A1000072;2202 86** **** 2127;МИР;2022-04-23;2026-04-01;active
K2000061;A1000073;2202 41** **** 8623;МИР;2026-07-19;2030-07-01;active
K2000062;A1000075;2204 40** **** 8324;МИР;2025-01-16;2029-01-01;active
K2000063;A1000076;2202 46** **** 5635;МИР;2026-05-11;2030-05-01;blocked
K2000064;A1000077;2202 97** **** 9568;МИР;2025-08-15;2029-08-01;active
K2000065;A1000078;2202 79** **** 7364;МИР;2026-08-06;2030-08-01;active
K2000066;A1000079;2200 87** **** 3362;МИР;2026-07-18;2030-07-01;active
K2000067;A1000080;2200 10** **** 5976;МИР;2025-11-27;2029-11-01;active
K2000068;A1000081;4276 22** **** 5876;Mastercard;2025-11-27;2029-11-01;active
K2000069;A1000082;2204 35** **** 8411;МИР;2025-11-27;2029-11-01;active
K2000070;A1000085;2204 31** **** 5063;МИР;2024-11-10;2028-11-01;active
K2000071;A1000087;2200 31** **** 1130;МИР;2025-08-21;2029-08-01;active
K2000072;A1000089;5469 14** **** 9288;Visa;2026-02-25;2030-02-01;active
K2000073;A1000090;2202 21** **** 8217;МИР;2026-10-19;2030-10-01;active
K2000074;A1000091;2202 70** **** 5899;МИР;2025-01-21;2029-01-01;active
K2000075;A1000093;2200 81** **** 9447;МИР;2024-12-23;2028-12-01;active
K2000076;A1000094;2204 70** **** 5921;МИР;2024-05-19;2028-05-01;active
K2000077;A1000095;2204 97** **** 3715;МИР;2022-06-11;2026-06-01;active
K2000078;A1000096;2204 22** **** 1500;МИР;2026-01-21;2030-01-01;active
K2000079;A1000097;4276 54** **** 4577;Mastercard;2026-11-10;2030-11-01;active
K2000080;A1000099;5469 80** **** 4730;Mastercard;2025-04-17;2029-04-01;active
K2000081;A1000101;5469 70** **** 1577;Visa;2026-01-03;2030-01-01;active
K2000082;A1000102;4276 31** **** 6829;Visa;2025-12-15;2029-12-01;active
K2000083;A1000103;2200 50** **** 4645;МИР;2026-05-08;2030-05-01;active
K2000084;A1000104;2200 58** **** 2853;МИР;2023-07-09;2027-07-01;active
K2000085;A1000105;2204 46** **** 6299;МИР;2026-12-09;2030-12-01;blocked
K2000086;A1000106;2202 53** **** 3610;МИР;2026-05-18;2030-05-01;active
K2000087;A1000107;2204 88** **** 9980;МИР;2025-03-13;2029-03-01;active
K2000088;A1000108;2200 10** **** 5490;МИР;2024-02-19;2028-02-01;active
K2000089;A1000109;2202 23** **** 1892;МИР;2026-05-23;2030-05-01;active
K2000090;A1000110;2204 91** **** 3443;МИР;2023-11-26;2027-11-01;active
K2000091;A1000112;2204 94** **** 3541;МИР;2025-07-05;2029-07-01;active
K2000092;A1000113;2200 83** **** 4108;МИР;2025-12-17;2029-12-01;active
K2000093;A1000114;2200 50** **** 8605;МИР;2026-01-23;2030-01-01;active
K2000094;A1000115;5469 55** **** 5921;Mastercard;2023-05-16;2027-05-01;active
K2000095;A1000116;2204 20** **** 8197;МИР;2026-11-16;2030-11-01;active
K2000096;A1000119;2200 99** **** 9040;МИР;2024-04-20;2028-04-01;active
K2000097;A1000120;2204 34** **** 5062;МИР;2024-08-06;2028-08-01;active
K2000098;A1000121;2204 19** **** 4353;МИР;2025-07-11;2029-07-01;active
K2000099;A1000122;4276 53** **** 9980;Visa;2026-04-07;2030-04-01;active
K2000100;A1000123;2204 69** **** 8801;МИР;2025-11-09;2029-11-01;active
K2000101;A1000124;2200 44** **** 5316;МИР;2025-01-13;2029-01-01;active
K2000102;A1000125;2202 27** **** 9160;МИР;2026-03-23;2030-03-01;active
K2000103;A1000125;4276 37** **** 9989;Mastercard;2025-12-10;2029-12-01;active
K2000104;A1000126;5469 71** **** 8579;Visa;2026-04-05;2030-04-01;active
K2000105;A1000127;2204 94** **** 9711;МИР;2025-01-08;2029-01-01;active
K2000106;A1000128;2200 14** **** 3701;МИР;2024-12-26;2028-12-01;active
K2000107;A1000129;4276 76** **** 7581;Visa;2026-10-07;2030-10-01;active
K2000108;A1000130;2202 89** **** 6579;МИР;2024-12-11;2028-12-01;active
K2000109;A1000131;2200 62** **** 8890;МИР;2024-11-10;2028-11-01;active
K2000110;A1000133;2204 48** **** 2240;МИР;2025-07-11;2029-07-01;active
K2000111;A1000135;2200 88** **** 8704;МИР;2026-09-13;2030-09-01;active
K2000112;A1000136;2200 12** **** 8188;МИР;2024-04-25;2028-04-01;active
K2000113;A1000137;4276 48** **** 2775;Visa;2025-12-15;2029-12-01;active
K2000114;A1000137;5469 98** **** 7670;Mastercard;2026-07-21;2030-07-01;active
K2000115;A1000138;2202 55** **** 7024;МИР;2026-08-14;2030-08-01;active
K2000116;A1000139;2204 66** **** 1632;МИР;2026-03-21;2030-03-01;active
