client_id;fio;gender;birth_date;city;phone;email;segment;registered_at;updated_at
C101987;Захарова Анастасия Владимировна;Ж;1997-02-15;Ростов-на-Дону;+79155284151;anastasiya.zakharova61@inbox.ru;mass;2024-01-05 14:27:00;2024-01-05 14:27:00
C110412;Павлов Егор Анатольевич;М;04.11.2000;Сириус;+7 (990) 063-96-58;egor.pavlov7@inbox.ru;mass;2024-06-25 17:04:00;2024-06-25 17:04:00
C103883;Григорьева Софья Юрьевна;жен;1990-10-13;Иркутск;+7 (972) 383-80-37;sofya.grigoreva80@rambler.ru;Mass;2021-10-16 21:48:00;2026-07-25 14:00:00
C100107;Яковлев Максим Степанович;М;22.11.2006;г. Казань;89875410873;maksim.yakovlev24@rambler.ru;mass;2025-01-15 18:31:00;2025-01-15 18:31:00
C101228;Антонов Руслан Дмитриевич;М;1991-06-16;Нижний Новгород;+7 (997) 603-16-34;ruslan.antonov58@gmail.com;mass;2025-12-09 08:27:00;2025-12-09 08:27:00
C109963;Белкин Игорь Андреевич;М;1990-12-04;Иннополис;+7 (926) 843-02-27;igor.belkin63@bk.ru;mass;2025-06-11 09:38:00;2026-08-22 11:00:00
C107677;Филиппова Маргарита Игоревна;Ж;1999-10-02;Пермь;8 976 342 76 09;margarita.filippova45@gmail.com;Mass;2025-09-07 14:03:00;2025-09-07 14:03:00
C104825;Королёв Тимофей Борисович;М;1975-02-24;Москва;+7 (999) 960-75-00;timofey.korolev69@inbox.ru;mass;2025-03-12 14:54:00;2025-03-12 14:54:00
C107885;Белов Иван Юрьевич;M;13.04.1967;Москва;+7 (975) 465-66-31;ivan.belov87@rambler.ru;private;2025-08-02 08:43:00;2025-08-02 08:43:00
C104107;Степанов Руслан Григорьевич;М;25.12.1984;Москва;+7 (919) 985-95-36;ruslan.stepanov18@gmail.com;Premium;2024-06-13 12:19:00;2024-06-13 12:19:00
C100432;Фролов Илья Алексеевич;М;1980-03-16;Краснодар;8 949 988 56 44;ilya.frolov14@yandex.ru;mass;2025-10-07 13:29:00;2025-10-07 13:29:00
C109365;Петрова Александра Романовна;Ж;1999-09-27;Санкт-Петербург;+7 (984) 485-00-30;aleksandra.petrova71@inbox.ru;premium;2021-04-17 13:25:00;2021-04-17 13:25:00
C103151;Сергеев Владислав Степанович;муж;1968-09-13;красноярск;+79792766678;vladislav.sergeev82@bk.ru;mass;2022-08-20 16:17:00;2022-08-20 16:17:00
C107177;Шевченко Наталья Сергеевна;Ж;13.04.1993;Екатеринбург;89459218173;natalya.shevchenko13@inbox.ru;mass;2025-05-08 19:12:00;2025-05-08 19:12:00
C100454;Сергеев Матвей Павлович;М;1986-08-19;Москва;+7 (958) 913-34-50;matvey.sergeev42@yandex.ru;mass;2022-01-08 20:28:00;2026-03-22 08:00:00
C107624;Бондаренко Андрей Петрович;М;2004-09-08;Новосибирск;8 968 790 90 29;andrey.bondarenko13@inbox.ru;mass;2024-12-13 11:30:00;2026-09-22 11:00:00
C109419;Воробьёва Анастасия Петровна;Ж;13.07.2003;Новосибирск;8 985 079 95 20;anastasiya.vorobeva78@gmail.com;premium;2021-12-11 20:38:00;2021-12-11 20:38:00
C103084;Кравченко Ольга Викторовна;Ж;1964-02-10;Москва;8 913 227 89 02;olga.kravchenko81@bk.ru;Mass;2022-04-27 20:11:00;2022-04-27 20:11:00
C104231;Новиков Кирилл Михайлович;М;18.11.2000;Москва;+79601725279;kirill.novikov79@inbox.ru;mass;2024-12-12 15:32:00;2024-12-12 15:32:00
C110262;Соловьёва Ирина Андреевна;Ж;07.06.2003;Краснодар;+79696240756;irina.soloveva50@inbox.ru;private;2022-05-11 13:52:00;2022-05-11 13:52:00
C102928;Соловьёва Анна Григорьевна;жен;1976-11-26;Волгоград;8 958 009 94 02;anna.soloveva63@inbox.ru;mass;2025-12-08 13:36:00;2025-12-08 13:36:00
C104591;Ильина Дарья Андреевна;Ж;1980-07-27;Краснодар;8 951 074 18 27;darya.ilina58@inbox.ru;premium;2024-01-28 14:57:00;2026-09-05 19:00:00
C110952;Антонова Вероника Владимировна;Ж;1977-02-28;Москва;+7 (925) 250-15-02;veronika.antonova68@gmail.com;mass;2024-01-17 16:55:00;2024-01-17 16:55:00
C100618;Филиппов Даниил Михайлович;М;1987-08-25;Казань;8 918 055 98 33;daniil.filippov19@inbox.ru;mass;2025-08-26 09:26:00;2025-08-26 09:26:00
C108888;Захарова Милана Николаевна;Ж;1988-04-22;Красноярск;89950340699;milana.zakharova59@gmail.com;Mass;2023-07-21 13:56:00;2026-11-06 08:00:00
C101906;Соловьёва Виктория Игоревна;F;1977-02-03;Воронеж;8 942 224 35 63;viktoriya.soloveva23@rambler.ru;mass;2023-04-16 15:05:00;2023-04-16 15:05:00
C108755;Новиков Егор Павлович;М;1988-04-01;Москва;89546222045;egor.novikov13@mail.ru;mass;2021-09-25 11:15:00;2021-09-25 11:15:00
C103072;Смирнов Игорь Романович;М;19.04.1984;Нижний Новгород;+79952117064;igor.smirnov15@yandex.ru;mass;2023-04-18 19:31:00;2023-04-18 19:31:00
C100903;Медведев Александр Алексеевич;М;1988-08-15;Санкт-Петербург;8 924 601 25 97;aleksandr.medvedev53@mail.ru;premium;2023-01-15 18:18:00;2026-03-13 21:00:00
C104345;Волков Тимофей Владимирович;М;18.05.1962;Москва;+79739038740;timofey.volkov9@bk.ru;mass;2025-07-13 10:02:00;2025-07-13 10:02:00
C110549;Романова Анна Андреевна;Ж;25.10.1987;Москва;89341298756;anna.romanova62@yandex.ru;mass;2023-11-06 17:08:00;2023-11-06 17:08:00
C100870;Орлов Никита Борисович;М;1987-10-04;Санкт-Петербург;89877608146;nikita.orlov1@rambler.ru;mass;2023-05-22 21:31:00;2023-05-22 21:31:00
C108640;Филиппова Анна Сергеевна;Ж;1989-02-21;Москва;89893455574;anna.filippova5@yandex.ru;mass;2022-11-17 09:28:00;2022-11-17 09:28:00
C109074;Смирнова Татьяна Ивановна;Ж;2006-10-03;Волгоград;89821573138;tatyana.smirnova80@mail.ru;premium;2023-04-10 20:29:00;2023-04-10 20:29:00
C108890;Новикова Вероника Петровна;Ж;1970-11-22;Пермь;+7 (943) 763-01-36;veronika.novikova81@bk.ru;MASS;2023-07-23 15:34:00;2023-07-23 15:34:00
C103692;Попова Анна Дмитриевна;Ж;18.08.1962;Новосибирск;+79948668009;anna.popova89@rambler.ru;Mass;2024-06-27 13:26:00;2024-06-27 13:26:00
C109590;Медведева Наталья Андреевна;Ж;1991-07-01;Москва;89251849158;natalya.medvedeva82@rambler.ru;mass;2025-05-23 11:27:00;2025-05-23 11:27:00
C110185;Александрова Милана Андреевна;Ж;1965-07-20;Нижний Новгород;+79137289525;milana.aleksandrova76@mail.ru;mass;2025-10-25 19:39:00;2026-02-27 12:00:00
C109565;Семёнова Диана Викторовна;жен;04.06.1976;Санкт-Петербург;+7 (944) 505-68-89;diana.semenova44@inbox.ru;mass;2024-03-15 19:03:00;2024-03-15 19:03:00
C107014;Белов Роман Григорьевич;М;1973-08-24;Пермь;+79904786137;roman.belov34@bk.ru;premium;2024-06-18 11:28:00;2026-03-12 19:00:00
C109446;Белкин Игорь Степанович;М;2007-11-17;Санкт-Петербург;89569808897;igor.belkin28@mail.ru;mass;2024-10-28 21:10:00;2026-11-26 13:00:00
C108198;Никитина Дарья Борисовна;Ж;1993-07-08;Санкт-Петербург;8 944 545 89 19;darya.nikitina84@gmail.com;mass;2022-08-12 17:08:00;2022-08-12 17:08:00
C101996;Сорокин Дмитрий Сергеевич;М;1966-07-01;Санкт-Петербург;+7 (913) 777-10-27;dmitriy.sorokin92@inbox.ru;mass;2023-07-12 16:38:00;2023-07-12 16:38:00
C100834;Шевченко Юлия Павловна;жен;13.11.1978;Санкт-Петербург;89707314176;yuliya.shevchenko16@gmail.com;MASS;2021-02-23 09:21:00;2021-02-23 09:21:00
C106257;Васильева Татьяна Владимировна;ж;04.01.1964;Екатеринбург;+79942795172;tatyana.vasileva92@yandex.ru;Mass;2021-08-27 16:57:00;2021-08-27 16:57:00
C110526;Максимова Вероника Ивановна;Ж;1969-05-13;Ижевск;89930654448;veronika.maksimova32@rambler.ru;Mass;2021-06-07 12:01:00;2021-06-07 12:01:00
C108946;Полякова Ольга Павловна;Ж;24.04.1980;Москва;89607290977;olga.polyakova65@rambler.ru;mass;2021-10-16 12:50:00;2021-10-16 12:50:00
C110276;Воробьёва Елизавета Владимировна;жен;1999-03-27;Уфа;89581641382;elizaveta.vorobeva43@bk.ru;MASS;2023-01-21 12:10:00;2023-01-21 12:10:00
C105666;Шевченко Ольга Анатольевна;Ж;16.09.2004;г. Москва;+79381068905;olga.shevchenko82@mail.ru;Mass;2025-11-27 19:47:00;2025-11-27 19:47:00
C101490;Ковалёва Ирина Петровна;Ж;18.10.1998;Новосибирск;8 974 868 52 98;irina.kovaleva51@mail.ru;premium;2023-07-20 09:41:00;2026-01-28 12:00:00
C100951;Сорокина Вероника Викторовна;ж;1997-03-11;Москва;89797488578;veronika.sorokina95@yandex.ru;mass;2024-11-10 19:00:00;2026-11-26 21:00:00
C101607;Королёва Алиса Юрьевна;Ж;2001-09-17;Ростов-на-Дону;8 928 405 03 68;alisa.koroleva25@gmail.com;private;2022-06-09 13:59:00;2022-06-09 13:59:00
C108772;Давыдова Полина Олеговна;ж;10.12.1963;г. Ростов-на-Дону;+79902942516;polina.davydova6@mail.ru;mass;2025-07-06 09:39:00;2025-07-06 09:39:00
C104438;Фролов Даниил Петрович;М;1980-07-22;Москва;89878769464;daniil.frolov45@inbox.ru;mass;2025-01-21 14:10:00;2025-01-21 14:10:00
C107996;Ильин Владислав Дмитриевич;М;1991-03-21;Нижний Новгород;89946970625;vladislav.ilin14@inbox.ru;mass;2021-12-16 15:14:00;2026-11-19 18:00:00
C111249;Ткаченко Елизавета Олеговна;Ж;28.09.2000;санкт-петербург;+7 (978) 233-86-64;elizaveta.tkachenko38@bk.ru;mass;2022-07-17 20:53:00;2022-07-17 20:53:00
C106445;Королёв Евгений Владимирович;м;07.01.1989;Уфа;+79665577090;evgeniy.korolev38@rambler.ru;premium;2022-06-10 11:52:00;2026-03-22 14:00:00
C101797;Баранова Татьяна Николаевна;Ж;1998-03-07;Барнаул;+7 (993) 839-03-77;tatyana.baranova46@gmail.com;mass;2025-04-17 19:40:00;2025-04-17 19:40:00
C111077;Фролов Егор Александрович;М;27.03.1989;Новосибирск;89429676733;egor.frolov91@gmail.com;mass;2021-07-25 17:47:00;2021-07-25 17:47:00
C108441;Петров Никита Михайлович;М;23.09.1972;Екатеринбург;8 977 487 43 80;nikita.petrov63@yandex.ru;mass;2025-10-05 10:54:00;2025-10-05 10:54:00
C110109;Полякова Дарья Юрьевна;Ж;1968-10-12;Москва;+7 (931) 635-52-08;darya.polyakova32@gmail.com;MASS;2024-12-17 18:53:00;2026-04-11 12:00:00
C110694;Васильева Алина Александровна;жен;1986-10-12;Москва;+79414636178;alina.vasileva55@mail.ru;private;2021-06-17 19:15:00;2021-06-17 19:15:00
C111956;Яковлев Евгений Романович;М;11.02.1998;Москва;89620834171;evgeniy.yakovlev99@yandex.ru;mass;2024-05-25 18:00:00;2024-05-25 18:00:00
C102447;Зайцева Елизавета Александровна;Ж;07.03.2001;Москва;8 990 605 41 26;elizaveta.zaytseva92@gmail.com;mass;2023-02-21 11:12:00;2026-05-25 16:00:00
C102894;Жукова Полина Ивановна;жен;1988-08-20;Москва;8 983 787 29 02;polina.zhukova93@rambler.ru;mass;2023-06-24 12:19:00;2026-08-26 11:00:00
C108216;Жукова Софья Юрьевна;Ж;2002-01-11;Москва;+79806798851;sofya.zhukova95@mail.ru;Mass;2021-01-05 16:56:00;2021-01-05 16:56:00
C103321;Воробьёв Михаил Романович;М;02.05.1988;Ставрополь;+7 (923) 359-37-40;mikhail.vorobev44@rambler.ru;mass;2022-03-01 09:35:00;2022-03-01 09:35:00
C103976;Волкова Наталья Сергеевна;жен;2006-06-05;Москва;+7 (953) 707-16-63;natalya.volkova7@gmail.com;mass;2025-07-05 17:10:00;2025-07-05 17:10:00
C103003;Михайлов Денис Алексеевич;муж;08.04.2005;Новосибирск;89790735059;denis.mikhaylov15@yandex.ru;premium;2025-12-17 13:09:00;2025-12-17 13:09:00
C104883;Зайцева Арина Александровна;Ж;17.12.2004;Москва;+7 (982) 183-87-09;arina.zaytseva92@bk.ru;mass;2022-08-15 20:53:00;2022-08-15 20:53:00
C104851;Фёдоров Михаил Александрович;М;09.01.1975;Воронеж;+7 (945) 534-97-99;mikhail.fedorov23@inbox.ru;Mass;2023-07-25 16:32:00;2023-07-25 16:32:00
C105161;Максимов Дмитрий Иванович;М;07.11.1979;СТАВРОПОЛЬ;89388493821;dmitriy.maksimov94@gmail.com;mass;2024-04-20 12:56:00;2024-04-20 12:56:00
C109813;Антонова Виктория Степановна;Ж;1995-06-09;Новосибирск;89155504397;viktoriya.antonova45@bk.ru;mass;2025-07-11 20:52:00;2025-07-11 20:52:00
C108760;Филиппова Александра Андреевна;Ж;2000-01-04;Нижний Новгород;+7 (957) 747-41-31;aleksandra.filippova52@mail.ru;MASS;2021-07-05 13:39:00;2026-01-22 14:00:00
C107954;Никитин Тимофей Борисович;M;1967-08-26;Санкт-Петербург;8 957 814 60 54;timofey.nikitin30@bk.ru;Mass;2025-11-09 17:22:00;2025-11-09 17:22:00
C103293;Ковалёв Илья Иванович;М;1991-08-17;Новосибирск;+7 (972) 706-49-51;ilya.kovalev67@inbox.ru;Mass;2022-07-05 12:02:00;2022-07-05 12:02:00
C103431;Николаев Владимир Дмитриевич;М;2006-02-16;Уфа;+7 (911) 605-93-00;vladimir.nikolaev30@gmail.com;premium;2021-06-28 16:31:00;2026-03-03 12:00:00
C105624;Волков Кирилл Михайлович;М;09.01.1967;Москва;+79148437582;kirill.volkov67@inbox.ru;mass;2021-09-25 13:41:00;2026-07-21 13:00:00
